,titles,starRatings,monthOfTravel,yearOfTravel,author,reviews,dateResp,managers,responses
14,Great Stay just be careful with the hidden charges on Airport Shuttle.,4,5,2022,Twc3011,The hotel is very nice great service great facilities and service. (It was annoying on morning going to the lobby and half of the staff were in protest due to Corporate Greed the owners not giving the staff bonuses.) But our stay was great with a very nice breakfast each morning and everyone was nice. We were told that they have a shuttle  from the hotel to the airport we booked it no one mentioned a price. Once arriving at the airport the shuttle bus driver told us it would be $25.00 or 500 pesos. We paid it but wish they would have told us earlier we would have taken Uber for much cheaper.,Responded 1 week ago,"Response from Gabriela Gonzalez, Other at Galeria Plaza ReformaResponded 1 week ago","Dear guest, we highly appreciate all feedback as it is the only way to measure our performance and improve our processes. Please rest assured that we are already enforcing the information standard for the transportación services. Please accept our deepest apologies. We look forward to seeing you again soon!"
15,Avoid if you want a good sleep,1,5,2022,Almar2022fr,The rooftop is used as a club and blasting outdoor music till 5am on a Thursday. I was on the 6th floor and rooftop is on the 12th and I could not sleep. Gym has outdated equipments. Very good restaurant by the lobby and attentive staff. Transportation from/to airport was arranged for them and the driver was great.,Responded 1 week ago,"Response from Gabriela Gonzalez, Other at Galeria Plaza ReformaResponded 1 week ago","Thank you for staying with us. We are glad to know you have had a good time at our hotel. Please accept our sincere apologies for the noise, it is coming from a nearby bar, we are trying to get a solution with the authorities, but we have not an answer yet. We hope that we will have the honor of another visit soon."
16,Great location,4,5,2022,billyblanco1906,The service at Galeria Plaza Reforma was great. The location is perfect to walk and navigate.The staff is always helpful along with their concierge personnel. I will definitely stay there again my next time in CDMX. ,Responded 2 weeks ago,"Response from Gabriela Gonzalez, Other at Galeria Plaza ReformaResponded 2 weeks ago",We are very glad to know you have had a good time at our hotel. We hope that we will have the honor of another visit soon!  
17,Great option,5,5,2022,Elena K,"Excellent option in the heart of Mexico City, only a block away from Angel de la independencia. Staff is extremely friendly and eager to help with everything. Hotel room was super clean and attended daily. 100% recommended. I cannot wait to be back so I can stay there again.",Responded 2 weeks ago,"Response from Gabriela Gonzalez, Other at Galeria Plaza ReformaResponded 2 weeks ago","Thank you for your excellent comments and your kind recommendation, We hope to have the honor to serve you again in the near future. Regards "
18,Excellent hotel,5,6,2022,Vanessa R,"Excellent service, clean and beautiful.  The staff is extremely amazing from the reception to the tour and taxi people. We had an amazing time, is close to nice theaters and restaurants.  I fall in love of this city!! Raul, Romulo the tour guy a d Idalgo the taxi guy made our stay great and safe. Totally recommend this hotel. I will give them 5 stars 🌟 🤩",Responded 4 days ago,"Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded 4 days ago","Dear guest,  Receive a warm greeting. It is a pleasure for us to receive news from our guests. Thank you very much for the time dedicated to share your experience with us.  As your hosts we are more than happy to know that you had an unforgettable. On behalf of all associates, especially Mr. Raúl Reynosa and Romulo. Ee greatly appreciate your preference, we will recognize their great participation in the next monthly meeting. For us it is a pleasure to serve you.  We look forward to seeing you in your next trip to Mexico City   Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager "
19,Definitely not fives!,3,5,2022,Jared,"This is a very old upscale hotel near Mexico City centro, that by the looks of it I'm guessing was built in the 19th century. It is still in really good condition, particularly in the lobby which with a well dressed staff presents the image of a five star hotel, but the rooms are a different story. They very small and have comfortable beds but the  wood work is coming apart and the rooms are in need of repair or renovation. Also, I witnessed a staff member ordering a guest to follow its rules. Apparently, some of the hotel staff members are unaware (or don't care) that the only reason they have a job, and the only reason hotel remains in business - is because of its paying customers.  This kind of upside down thinking and behavior in businesses seems to be increasing. I guess many have abandoned or forgotten ""the customer is king"" philosophy. Sadly, real customer service seems to be fading into oblivion, and is being replaced by little power hungry self appointed would be tyrants. Sign of the times we've entered into now I guess, monkey see - monkey do.…",Responded 3 weeks ago,"Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded 3 weeks ago","Dear Mr. Jared,   Thank you very much for your time dedicated to share your experience, we appreciate your feedback and the Maintenance Manager is taking care of the situation immediately, please be sure that your comments will be transmitted to the different department to work on them immediately. We look for another opportunity to serve you better in the near.   Please accept our most sincere apologies for the inconveniences in your room. We reiterate our apologies for not meeting your expectation but please rest assured we are already working in making things better.  Best regards,  Lic. Esmeralda Manrique Aguirre Director General  "
20,"Good location, okay stay only",2,4,2022,Anel Z,The hotel itself is plain okay. The staff put too much passion on covid restrictions and forgot that their main business is hospitality. They took about 40 mins to bring the drinks. The process to check in is long. And beware if you book online through the official site is like booking with third parties like Expedia so you could have a two day nightmare to amend your booking.,"Responded Apr 27, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Apr 27, 2022","Dear Guest,   Thank you very much for your time dedicated to share your experience.  We appreciate your feedback, please be sure that your comments will be transmitted to the department to work on them immediately. We look for another opportunity to serve you better in the nearest future. Please accept our most sincere apologies for the inconveniences in your stay. Our manager department has taken note of this and will make sure it is not happening again.   Thank you very much for your feedback and your kind words.  Best regards,  Lic. Esmeralda Manrique Aguirre Director General  "
21,Excellent & safe hotel,5,4,2022,DaBeat,"Not the cheapest one in place, but a safe one with nice rooms, a really well-equipped fitness room, great service and delicious food and drinks in the restaurant. The Hotel is placed nicely between the anthropological museum and the Zocalo (ca. a 30 min foot walk to both). We would definitely stay there again.","Responded Apr 21, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Apr 21, 2022","Dear guest,  Receive a warm greeting. It is a pleasure for us to receive news from our guests. Thank you very much for the time dedicated to share your experience with us. As your hosts we are more than happy to know that you had an unforgettable. On behalf of all associates appreciate your preference.   For us it is a pleasure to serve you. We look forward to seeing you in your next trip to Mexico City   Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager "
22,Turista en CDMX,5,3,2022,Ram Chavez,Excellent service and attention special thanks to the front desk and Yessenia Alvarez for receiving us so great. Room was cleaned properly all the time and with all its amenities. All staff were willing to help at any time.,"Responded Apr 1, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Apr 1, 2022","Dear guest,  Receive a warm greeting. It is a pleasure for us to receive news from our guests. Thank you very much for the time dedicated to share your experience with us.  As your hosts we are more than happy to know that you had an unforgettable. On behalf of all associates, especially Miss. Yessenia, we greatly appreciate your preference. For us it is a pleasure to serve you.  We hope to see you in the near future again.   Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager "
23,First visit CDMX,5,3,2022,Abigail G,"Good service, nice people. As expected and beyond. The location is great and the room was very good, a bit small but the view was very nice.  Thanks to all the team, specially Alejandro Jimenez and Fatima Lopez. Definitely, we will come back to Emporio in our next visit to CDMX.","Responded Mar 9, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Mar 9, 2022","Dear guest,   It is a really privilege to receive news from our guests. We thank you very much for the time dedicated to share your experience with us. We are glad to hear you enjoyed the facilities and the location was convenient for you. On behalf of all associates, especially Miss Fatima López and Mr. Alejandro Jiménez we greatly appreciate your preference.   We hope to see you in the near future again.  Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager  "
24,"the staff, the hotel and the location, excellent!",5,1,2022,Alberto M,"I think that the improvement must be continuous but my experience in the hotel was 10, my congratulations because it shows that they have a culture of paying attention and giving good service to the internal client, to the colleague who needs training and help to maintain a good standard of external customer service, staff with more than 30 years in the hotel who give themselves with a vocation for service every day, Arturo Ocampo, Martin Lopez, Esther Sandoval, Paulete, Fernando thank you very much and my congratulations!","Responded Feb 1, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Feb 1, 2022","Dear Mr. Alberto,  Receive a warm greeting. It is a pleasure for us to receive news from our guests. Thank you very much for the time dedicated to share your experience with us. As your hosts we are more than happy to know that you had an unforgettable. On behalf of all associates, especially Miss. Esther Sandoval, Paulete Rivera and Mr. Arturo Ocampo, Martín López and Fernando, we greatly appreciate your preference. We will recognize their great participation in the next monthly meeting.  For us it is a pleasure to serve you, we look forward to seeing you in your next trip to Mexico City.  Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager "
25,NICE AND SMALL HOTEL IN THE HEART OF MEXICO CITY,4,1,2022,Rafael,"Good choice if you like a small and old fashioned hotel, in general well mantained, with basic amenities; the room was fine, the bathtub with water jets;  the TV is obsolete, only cable; the food is good; easy access to restaurants, pharmacy, money exchange, etc. it is safe to walk Paseo De La Reforma","Responded Feb 1, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Feb 1, 2022","Dear guest,   It is a really privilege to receive news from our guests. We thank you very much for the time dedicated to share your experience with us. We are glad to hear you enjoyed the facilities and the location was convenient for you.  We look forward to seeing you on your next trip. It will be a pleasure to host you again.  We hope to see you in the near future again.  Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager  "
26,Súper hotel,5,1,2022,Ruth G,"Best bed ever , the attention also it’s amazing. People let you feel at home. Fernando , Yessenia , Martin , they were such a nice people … I totally recommend to stay here , in reforma is close to everything","Responded Jan 17, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Jan 17, 2022","Dear guest,   It is a really privilege to receive news from our guests. We thank you very much for the time dedicated to share your experience with us. We are glad to hear you enjoyed the facilities and the location was convenient for you. We are more that happy to hear you had a wonderful stay and enjoyed the service of our associates Yessenia Celedonio, Martín López and Fernando.  We hope to see you in the near future again.  Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager  "
27,Great experience,4,12,2021,FrequentFlier620747,"The hotel staff was 11 out of 10: very very friendly, specially Alfredo, Raúl and Mario.  The cleanliness of the hotel was very good, except by the fact that one of our nights the housekeeping forgot to clean our room and other guest’s room, so needed to wait until late that night for our room to be ready.  The location of the hotel is perfect, very close to the Ángel de la Independencia, and other touristic areas.","Responded Jan 3, 2022","Response from Asistente Direccion, Atención al huésped/Recepción at Emporio ReformaResponded Jan 3, 2022","Dear guest,  Receive a warm greeting. It is a pleasure for us to receive news from our guests. Thank you very much for the time dedicated to share your experience with us.  As your hosts we are more than happy to know that you had an unforgettable. On behalf of all associates, especially Mr. Alfredo, Raúl and Mario, we greatly appreciate your preference. Thank you very much for your feedback and your kind words, we are already working in making things better.  We look forward to seeing you in your next trip to Mexico City.  Sincerely yours,  Lic. Esmeralda Manrique Aguirre General Manager "
28,Optical Dispenser,5,5,2022,Miguel P,"The Stay was exceptional 👏.  The staff was so wonderful, attentive caring,  doing what ever it took to make our stay a pleasant one. This hotel is walking distance from the Zocalo in Mexico City. I highly recommend this Hotel for your trip to Mexico City!",Responded 4 weeks ago,"Response from Hotel Catedral, Director General at Hotel CatedralResponded 4 weeks ago","Good evening, thank you for your comment, day by day we work to improve our service and be able to provide an excellent service. Best regards."
29,Nice location,4,5,2022,Brooke S,The location was great.  Restaurant was good and room service was fast!  Breakfast was average.  Staff was nice but the rooms were a bit updated but adequate and decent for the price and location.  The bed was somewhat hard but the main negative was the slamming of the room doors starting super early.  It was hard to sleep in.,Responded 4 weeks ago,"Response from Hotel Catedral, Director General at Hotel CatedralResponded 4 weeks ago","Good evening, we appreciate your comment, thanks to your comment we will work to provide an excellent service, we look forward to seeing you again to show you that our service can improve every day, and we will continue to strive to provide a better service. Thank you for visiting Hotel Catedral. Best regards."
30,"Perfect location, lovely hotel",5,4,2022,HnS_11,"The location of the hotel was excellent, just a few minutes walk from the Zocalo square. Clean and lovely staff on the desk in the mornings. Breakfast had a huge choice.  Lots of places to eat nearby and have a drinks  Room 505 is a lovely room.  Room 218 is very spacious with a jacuzzi bath / shower but very dark as was room 214.  A definite must if you are dithering for choice with hotels.",Responded 4 weeks ago,"Response from Hotel Catedral, Director General at Hotel CatedralResponded 4 weeks ago","Good evening, we appreciate your comment, a sincere apology for the inconvenience caused, we will work to continue improving and be able to provide you with an excellent service. Thank you for visiting Hotel Catedral. Best regards"
31,Highly recommend this hotel,5,4,2022,Bill S,The hotel was much more than I was expecting for the price.  It was just the right size for me.  Big enough to have the services I needed but not too large or crowded.  I never had to wait in line for anything.  It was very clean and well kept.  The staff was very friendly and helpful.  They arranged a COVID test for me where the technician came to the hotel and was on time.  The breakfast buffet was very good.  I also ate the the restaurant several times which I also would recommend.  There are two terraces on the 7th floor with tables and chairs to relax in.,"Responded Apr 18, 2022","Response from Hotel Catedral, Director General at Hotel CatedralResponded Apr 18, 2022",Estimated Bills A6993NR Thank you very much for taking the time to tell us and choosing us as your place of stay and being able to share this experience with us. It is a pleasure to know that your stay with us was pleasant and we look forward to seeing you next time.
32,"With a street-facing room, it is quite nice",4,4,2022,Thomas M,"We recently spent two nights here.  We enjoyed our stay.  At check-in, we were given a remodeled room facing the street.  It was quite nice.  Had I been given a room facing this very odd interior court, I would not have enjoyed it as much.  Overall, the price, the quality and the location make for a very good choice.  But do ask for an outside window.","Responded Apr 18, 2022","Response from Hotel Catedral, Director General at Hotel CatedralResponded Apr 18, 2022","Estimated Thomas M Thank you very much for your kind comment and for taking the time to tell us, it is a pleasure to have met your expectations, we work for you and it is a pleasure to serve you, we hope to see you soon"
33,"Contemporary, elegant, clean and comfortable. Welcoming and helpful employees. Stunning 360 degree views",5,4,2022,Sandra M,"Hotel Catedral was my home away from home for my 6-day trip to Mexico City. Comfortable, clean and well appointed rooms, amazing buffet breakfast, and a dedicated team of employees made this a very special place to rest my feet at the end of a great day out in the Centro Histórico.","Responded Apr 18, 2022","Response from Hotel Catedral, Director General at Hotel CatedralResponded Apr 18, 2022","Estimated Sandra M Thank you very much for your kind comment and for taking the time to comment, it is a pleasure to have met your expectations, we work for you and it is a pleasure to serve you, we hope to see you soon"
34,Stay at hotel catedral,5,4,2022,Laura,"My husband and I just got back from our trip to Mexico city. We chose hotel cathedral for it's location and great reviews. Although the building might need some updating due to it's age, the customer service is incredible. Thelma, Alan, Nancy and Miguel were extremely attentive and made our experience great. The daily included breakfast was phenomenal. I especially appreciated Thelma's attentiveness and her daily food recommendations. She is a gem. The location in the historic city center provided us with so many options of places to visit. It's a block from the cathedral, 1/2 a block from the temple mayor, and it's surrounded by great restaurants, coffee shops, book stores, and anything else you might need. Bella's Arte's is within walking distance and it's a very pleasant stroll to get there. At no point did I feel unsafe. Overall I would highly recommend staying at the hotel cathedral. Also the complimentary refrigerated water battles are a nice touch.…","Responded Apr 18, 2022","Response from Hotel Catedral, Director General at Hotel CatedralResponded Apr 18, 2022","Estimated Goyosmon Thank you very much for your kind comment and for taking and taking the time to comment, it is a pleasure to have met your expectations and we will pass the comment on to our buffet companions since your comment is very important to us, we hope to see you soon"
35,Best Hotel in the Historic Center,5,6,2022,Lei,"We’ve stayed in this hotel in 3 separate occasions and are always very impressed with the offering.  The price is right for the cleanliness, location, security and design.  We actually booked a different hotel just to try something different and upon arrival learned they wouldn’t have electricity until night time, the security and service left a lot to be desired.  Thankfully, we were able to cancel and booked a Jr. suite that saved our trip.  Thanks to Fernando who made our checkin a breeze and went above and beyond to accommodate us.  We were greeted with top shelf tequila and had the best view of el Zocalo.  We’ve also stayed in the more economical rooms which are great if you’re not planning on spending much time in your  room, they tend to be small but well equipped, clean and comfortable .  The breakfast is the BEST in town and is included in your stay as well as unlimited bottled water, beers, soft drinks, sandwiches, chips… in short you get your money’s worth.  We won’t make the mistake of booking elsewhere on our next visit.  This lovely spot will not disappoint.  ¡Muchas Gracias!…",Responded 3 days ago,"Response from Dirección Central Hoteles, Director General at Zocalo CentralResponded 3 days ago","Dear guest,  First, we would like to say “¡Muchas gracias!” for choosing us for your recent stay in Mexico City, we are delight to read that you had a comfortable stay at our hotel and to know that you enjoyed our rooms, location, amenities and decor.   Also, it is amazing to read you find our staff friendly and professional, they certainly enjoy when things go right and you, as our guest, have the most amazing experience with us. I will glady share your kind words with Fernando and everybody else!  We strive for your satisfaction, that's why we take care of every detail to turn your stay into an unforgettable experience.  We hope to serve you soon again.  Best regards,  Francisco García "
36,5days in Mexico- Best Hotel,5,3,2022,Marco M,Outstanding Hotel- Incredible view every day from all inclusive breakfast. Great location in heart of Mexico City.  Biggest value was the free Coffee/sandwich shop that you can get a drink/sandwich/soup 24 hours a day.   The service was 5stars. Definitely our favorite hotel in Mexico City.,"Responded Mar 16, 2022","Response from Dirección Central Hoteles, Director General at Zocalo CentralResponded Mar 16, 2022","Dear Marco,  On behalf of all of us at Zócalo Central, thank you very much for your incredible words and recommendation. It was a pleasure to serve you these days and knowing that we managed to make you feel comfortable and safe, means that we are achieving our goal of making guests feel at home and part of the Central Hoteles family.   Thank you for highlighting aspects of the hotel such as the breakfasts, the views, Café Central and our privileged location.   It will be a pleasure to serve you again on your next visit to the city.  Best regards,  Francisco García "
